Date,Value
2023-01-25,107639.409721841
2023-01-26,107656.16378119514
2023-01-27,107672.92044831632
2023-01-30,107689.67972361043
2023-01-31,107645.25183369133
2023-02-01,107865.62259514803
2023-02-02,108040.55546168552
2023-02-03,108542.72796055648
2023-02-06,107708.2410341809
2023-02-07,107551.29765305373
2023-02-08,107412.52924682974
2023-02-09,106858.97890544306
2023-02-10,106822.29383518915
2023-02-13,106538.98082966142
2023-02-14,106803.45220497141
2023-02-15,106836.01002156943
2023-02-16,106379.64450126214
2023-02-17,106221.14887325978
2023-02-20,105638.47124881952
2023-02-21,105224.19698602291
2023-02-22,104517.97857308622
2023-02-23,104518.45029895208
2023-02-24,104554.16075604262
2023-02-27,103700.30693233326
2023-02-28,103882.17081418238
2023-03-01,103962.22562776363
2023-03-02,104162.23373378796
2023-03-03,103849.26631530159
2023-03-06,104127.68315486191
2023-03-07,104797.77810071921
2023-03-08,104401.61187369969
2023-03-09,104663.35582511874
2023-03-10,104835.18962841647
2023-03-13,104063.57204691907
2023-03-14,103999.50649904516
2023-03-15,103608.73532151093
2023-03-16,103600.02166180813
2023-03-17,103343.72858171731
2023-03-20,103305.22704514759
2023-03-21,103788.44648666965
2023-03-22,103910.77388507983
2023-03-23,104527.19056992665
2023-03-24,105102.6063791484
2023-03-27,104395.55111634919
2023-03-28,104594.57881706458
2023-03-29,104833.72692253983
2023-03-30,104644.76168870731
2023-03-31,104586.12849257437
2023-04-03,104758.76626646229
2023-04-04,105045.38534400731
2023-04-05,105220.88752137645
2023-04-06,105171.40644525473
2023-04-07,105183.59354484617
2023-04-10,105223.1886820093
2023-04-11,105023.92790150811
2023-04-12,104781.49358629258
2023-04-13,104623.04361604643
2023-04-14,104697.6591673742
2023-04-17,104412.68254050499
2023-04-18,104630.50428258048
2023-04-19,104425.03240747725
2023-04-20,104423.79061060192
2023-04-21,104420.93438906386
2023-04-24,104395.41938837554
2023-04-25,104468.32273210397
2023-04-26,104606.9603614031
2023-04-27,104568.22857177234
2023-04-28,104508.29172366767
2023-05-01,105419.43383056427
2023-05-02,105543.35273896474
2023-05-03,105524.75488486633
2023-05-04,105434.6155385822
2023-05-05,105315.25451228148
2023-05-08,105444.90324611691
2023-05-09,105297.03154916725
2023-05-10,104739.24977149072
2023-05-11,104851.5810376614
2023-05-12,104957.45905711717
2023-05-15,104389.3975309966
2023-05-16,104781.22390934148
2023-05-17,105653.81588763365
2023-05-18,104554.92354875835
2023-05-19,104641.00051459987
2023-05-22,103625.91104498078
2023-05-23,104220.53217380492
2023-05-24,102539.13381397563
2023-05-25,102034.64268143613
2023-05-26,101754.24504528959
2023-05-29,102917.43089275325
2023-05-30,101169.84352931015
2023-05-31,102361.3012920719
2023-06-01,100900.17839831213
2023-06-02,100598.60808817054
2023-06-05,102310.36443388862
2023-06-06,101798.84761755008
2023-06-07,103644.15897143597
2023-06-08,105276.12442487871
2023-06-09,105270.83845592814
2023-06-12,106531.820754535
2023-06-13,106741.94399723163
2023-06-14,108676.49700347226
2023-06-15,107884.56712256743
2023-06-16,109001.93579188902
2023-06-19,109099.1937789798
2023-06-20,105908.9470132379
2023-06-21,105414.94341162316
2023-06-22,105179.5163225496
2023-06-23,104936.25981614708
2023-06-26,104005.25073677424
2023-06-27,103393.93961959443
2023-06-28,102355.15975316709
2023-06-29,102953.52107928769
2023-06-30,102466.4381593587
2023-07-03,102910.8132404094
2023-07-04,103957.02115105605
2023-07-05,104059.26359352589
2023-07-06,103835.66055429129
2023-07-07,103308.9474332881
2023-07-10,105066.91110733058
2023-07-11,104890.65173599974
2023-07-12,106416.49300075306
2023-07-13,107920.6978091449
2023-07-14,108877.37755932528
2023-07-17,108772.48978310954
2023-07-18,109316.02446000415
2023-07-19,111765.57479078113
2023-07-20,112119.91240797241
2023-07-21,111405.59567965301
2023-07-24,111498.70116086268
2023-07-25,108733.99727811836
2023-07-26,108041.49078480162
2023-07-27,108762.20508766787
2023-07-28,108104.94376832129
2023-07-31,111120.39798633446
2023-08-01,112395.84416059923
2023-08-02,112740.62795213803
2023-08-03,112618.444503111
2023-08-04,112149.52475770318
2023-08-07,114743.43902874578
2023-08-08,113069.2403117513
2023-08-09,113225.49253030606
2023-08-10,114052.39920012717
2023-08-11,113455.50310563091
2023-08-14,111298.17534373958
2023-08-15,111271.81080612975
2023-08-16,110724.35261807521
2023-08-17,110115.56279980122
2023-08-18,109081.96487345228
2023-08-21,108374.78213533328
2023-08-22,109423.76812586685
2023-08-23,110864.39569204055
2023-08-24,110745.1861557846
2023-08-25,109714.07383701982
2023-08-28,109831.03207074148
2023-08-29,109136.305446175
2023-08-30,110181.30437186711
2023-08-31,110124.77629698275
2023-09-01,109612.09764239588
2023-09-04,109160.78377942067
2023-09-05,108557.1596403722
2023-09-06,109697.07637670106
2023-09-07,109708.93805652563
2023-09-08,109210.8458112541
2023-09-11,110238.73288566258
2023-09-12,111743.42603583299
2023-09-13,110687.44603352559
2023-09-14,109983.831124049
2023-09-15,110036.89268574533
2023-09-18,111539.27872340757
2023-09-19,111512.68282788573
2023-09-20,112658.38153889056
2023-09-21,113459.7221505763
2023-09-22,113234.68326292942
2023-09-25,113473.45927948262
2023-09-26,113593.85586619475
2023-09-27,113756.15011953468
2023-09-28,114478.82684523646
2023-09-29,114405.97765499758
2023-10-02,114757.5409522618
2023-10-03,113382.62403935828
2023-10-04,112408.95464097873
2023-10-05,112523.36887584736
2023-10-06,112165.47672076004
2023-10-09,105419.74709544226
2023-10-10,103084.64473504794
2023-10-11,101884.30722793982
2023-10-12,100289.04830657963
2023-10-13,99997.01723329854
2023-10-16,98610.95216632387
2023-10-17,97072.270421859
2023-10-18,96260.98758647419
2023-10-19,94907.07699373616
2023-10-20,94556.55443246251
2023-10-23,91000.18706750304
2023-10-24,90999.29608348031
2023-10-25,90638.26350311533
2023-10-26,89335.99798004748
2023-10-27,89276.18776039424
2023-10-30,90233.79760993915
2023-10-31,90281.47389920229
2023-11-01,90206.23075748101
2023-11-02,90702.20512049895
2023-11-03,90879.15983914123
2023-11-06,91417.98816536005
2023-11-07,91704.32786924257
2023-11-08,91920.24128547413
2023-11-09,92066.3491962301
2023-11-10,92046.56906806392
2023-11-13,91526.78047902019
2023-11-14,91498.06656474009
2023-11-15,92013.94887452862
2023-11-16,92012.34842806759
2023-11-17,92244.74032189944
2023-11-20,92854.28067729485
2023-11-21,92444.67936905997
2023-11-22,94309.8617790802
