,Value
2018-12-17,110647.64856209817
2018-12-18,110747.71575776882
2018-12-19,110347.00059713534
2018-12-20,109934.57748331624
2018-12-21,109739.49818984591
2018-12-24,109147.86688458556
2018-12-25,109159.75308585666
2018-12-26,110123.10376101638
2018-12-27,110371.21094730713
2018-12-28,110372.48947048857
2018-12-31,110611.7406088754
2019-01-01,110623.36890356214
2019-01-02,110179.61482097777
2019-01-03,109806.93627665563
2019-01-04,110390.52627543107
2019-01-07,110670.75968783167
2019-01-08,111022.71213092127
2019-01-09,111188.93606559766
2019-01-10,111267.52525257865
2019-01-11,111192.11253320183
2019-01-14,111011.96986509209
2019-01-15,111457.82691041843
2019-01-16,111414.9715105593
2019-01-17,112267.11571215365
2019-01-18,112593.0545745832
2019-01-21,112593.14179324248
2019-01-22,112030.9782315899
2019-01-23,112819.96173108075
2019-01-24,110861.89098060525
2019-01-25,110580.64401189577
2019-01-28,110673.88014197061
2019-01-29,111195.42128836537
2019-01-30,111875.46729258107
2019-01-31,113817.76835092415
2019-02-01,113910.71424375464
2019-02-04,114505.42466988054
2019-02-05,114436.07711763034
2019-02-06,114401.61227700442
2019-02-07,114865.70745603695
2019-02-08,115431.11255071123
2019-02-11,115575.284079202
2019-02-12,115576.13454952156
2019-02-13,115959.1453268753
2019-02-14,116224.76911938081
2019-02-15,116749.40575469662
2019-02-18,116749.47403247934
2019-02-19,116846.75303700723
2019-02-20,116631.5696878373
2019-02-21,117050.38930177908
2019-02-22,117770.71050823045
2019-02-25,116593.3417509915
2019-02-26,117188.37503102484
2019-02-27,116671.18757230027
2019-02-28,117310.27389760083
2019-03-01,117831.31524054459
2019-03-04,117930.27378596264
2019-03-05,118386.9659857732
2019-03-06,118042.2601327247
2019-03-07,117947.97271985207
2019-03-08,118077.13487222457
2019-03-11,119233.50659102533
2019-03-12,119926.94623273074
2019-03-13,120232.78490066627
2019-03-14,120696.24052944098
2019-03-15,121063.49254620234
2019-03-18,120194.16603678161
2019-03-19,119805.46560055987
2019-03-20,120240.60062054856
2019-03-21,122139.33884748831
2019-03-22,121537.28993962097
2019-03-25,122133.5361589863
2019-03-26,122837.32213830583
2019-03-27,122041.26222694536
2019-03-28,122213.87297592324
2019-03-29,122361.40821054693
2019-04-01,121942.59527901678
2019-04-02,122315.34594396639
2019-04-03,122143.77031897691
2019-04-04,120978.59146275013
2019-04-05,121461.12139749646
2019-04-08,121349.72847253086
2019-04-09,120992.7829741543
2019-04-10,121699.94694071096
2019-04-11,121594.75608520673
2019-04-12,121459.93842893638
2019-04-15,121494.65632541671
2019-04-16,119385.12036882613
2019-04-17,117181.08756434472
2019-04-18,118079.4064958964
2019-04-22,118122.02168305415
2019-04-23,119080.2636044873
2019-04-24,119296.36748110615
2019-04-25,119178.92671195965
2019-04-26,119824.8519597
2019-04-29,119417.26829490023
2019-04-30,120110.06147050121
2019-05-01,118522.73134028116
2019-05-02,119359.7325695342
2019-05-03,120479.70552767663
2019-05-06,119845.10553316039
2019-05-07,117666.87142113053
2019-05-08,117853.65293371453
2019-05-09,116643.1268249112
2019-05-10,117660.3590470226
2019-05-13,116423.39591697739
2019-05-14,117160.76053972366
2019-05-15,117733.51454907579
2019-05-16,118328.40049702338
2019-05-17,117731.01381003874
2019-05-20,116104.33259490301
2019-05-21,116731.81242390859
2019-05-22,116794.5070215085
2019-05-23,116335.72470123664
2019-05-24,116552.7520652774
2019-05-27,116561.15674456279
2019-05-28,116387.55264230265
2019-05-29,115914.80492437162
2019-05-30,117018.39450028152
2019-05-31,116353.86307992184
2019-06-03,116119.51183702226
2019-06-04,117043.99046576355
2019-06-05,117686.98893449832
2019-06-06,117946.54600305928
2019-06-07,118439.35563937263
2019-06-10,118735.55808221528
2019-06-11,118851.63349159036
2019-06-12,118998.46619467632
2019-06-13,118885.50510791222
2019-06-14,118565.30080951151
2019-06-17,118321.74323394874
2019-06-18,119771.96680519152
2019-06-19,120798.30255852349
2019-06-20,121494.32295247725
2019-06-21,120405.88261275706
2019-06-24,120615.50141393804
2019-06-25,119248.53472940513
2019-06-26,118791.76848979424
2019-06-27,119839.37012196209
2019-06-28,120918.1584334154
2019-07-01,121997.91810749925
2019-07-02,123374.43392528105
2019-07-03,124903.75760113525
2019-07-04,124903.89809197378
2019-07-05,124948.31455002105
2019-07-08,124415.39913378813
2019-07-09,125221.43011018448
2019-07-10,124849.73396389301
2019-07-11,124494.08073733594
2019-07-12,124685.16550650477
2019-07-15,124953.32488028894
2019-07-16,124528.76070958235
2019-07-17,124495.19339233694
2019-07-18,126061.3084372835
2019-07-19,124476.08429138521
2019-07-22,125149.24731115118
2019-07-23,124769.37430169892
2019-07-24,124937.58518948377
2019-07-25,125218.76367964769
2019-07-26,126819.87757614849
2019-07-29,126928.60356813685
2019-07-30,127025.48028324006
2019-07-31,129495.60390234838
2019-08-01,131261.14455504448
2019-08-02,130457.36748230644
2019-08-05,128566.77323935175
2019-08-06,129948.0434423677
2019-08-07,131685.03058960073
2019-08-08,132953.09558797977
2019-08-09,133671.86116664557
2019-08-12,132747.52701555926
2019-08-13,134511.75687315068
2019-08-14,131875.14515526372
2019-08-15,132433.3788036714
2019-08-16,134350.08260451036
2019-08-19,135004.7277653924
2019-08-20,134847.20913470376
2019-08-21,136597.4935267597
2019-08-22,136790.779599706
2019-08-23,134127.4117664119
2019-08-26,136053.54964963128
2019-08-27,136068.8671626953
2019-08-28,136426.01019443062
2019-08-29,136641.24034827648
2019-08-30,136209.92549504936
2019-09-02,136209.994359028
2019-09-03,135543.38912221993
2019-09-04,136634.41724731872
2019-09-05,136533.69682209432
2019-09-06,136828.4660438747
2019-09-09,131803.70613290658
2019-09-10,127207.90114757144
2019-09-11,127486.76977302074
2019-09-12,128377.08769289768
2019-09-13,126983.10393116462
2019-09-16,126893.81518066971
2019-09-17,130129.7633719319
2019-09-18,130051.71085379836
2019-09-19,130548.70080079588
2019-09-20,129826.3134550828
2019-09-23,129770.07098958828
2019-09-24,128936.45368614346
2019-09-25,129349.53747820611
2019-09-26,129146.480582254
2019-09-27,126490.6625542139
2019-09-30,126669.87502424794
2019-10-01,125898.94439394065
2019-10-02,125258.64713831374
2019-10-03,126408.59783578882
2019-10-04,127958.40794436523
2019-10-07,128052.23816215456
2019-10-08,127833.61949519083
2019-10-09,128442.29937254274
2019-10-10,128965.81153919696
2019-10-11,128554.86763682816
2019-10-14,128851.5654700204
2019-10-15,129542.58517784216
2019-10-16,128099.2191053423
2019-10-17,128841.76233270764
2019-10-18,128197.34125802659
2019-10-21,129492.5700094138
2019-10-22,126694.8660825987
2019-10-23,126501.29374760267
2019-10-24,129789.98460385385
2019-10-25,130205.17078140478
2019-10-28,131268.34127485572
2019-10-29,131637.4377727461
2019-10-30,129968.33135547642
2019-10-31,127244.28502781576
2019-11-01,127527.63566146632
2019-11-04,126252.3372637694
2019-11-05,124914.08896192351
2019-11-06,125799.51769663775
2019-11-07,124166.33219545006
2019-11-08,123999.81360347559
2019-11-11,123425.93408486962
2019-11-12,122976.66793238845
2019-11-13,124614.76465289724
2019-11-14,125175.8896584783
2019-11-15,126072.97642133728
2019-11-18,126425.1726391799
2019-11-19,126218.74442938293
2019-11-20,126144.4925197917
2019-11-21,124395.99467682577
2019-11-22,123912.44012091466
2019-11-25,124279.34573972429
2019-11-26,125136.64002675549
2019-11-27,125435.53338926642
2019-11-28,125435.58778455351
2019-11-29,124633.69368585711
2019-12-02,123298.11865779021
2019-12-03,122727.59886309643
2019-12-04,123976.85944231499
2019-12-05,124725.81831079138
2019-12-06,125543.49161995505
2019-12-09,125143.77989776139
2019-12-10,125282.82378138846
2019-12-11,126547.41928651529
2019-12-12,127175.02759684258
2019-12-13,127659.8833993214
2019-12-16,128791.3447820289
2019-12-17,129039.07990563095
2019-12-18,128906.32617633755
2019-12-19,129398.32826694007
2019-12-20,130521.71104201788
2019-12-23,129854.94342895558
2019-12-24,130148.65010541238
2019-12-25,130148.708842767
2019-12-26,130614.59027738839
2019-12-27,130609.13429880404
2019-12-30,130077.33588496617
2019-12-31,130333.1108235634
2020-01-01,130333.22088146696
2020-01-02,130988.22470399158
2020-01-03,129545.86392047173
2020-01-06,129283.66917500258
2020-01-07,129372.39351971188
2020-01-08,130103.33654566621
2020-01-09,130681.47437286281
2020-01-10,130212.21371669686
2020-01-13,131665.44256239999
2020-01-14,132087.80029519767
2020-01-15,131142.81277111013
2020-01-16,132416.79097570464
2020-01-17,132483.0601538869
2020-01-20,132483.1688057201
2020-01-21,131955.85139012965
2020-01-22,132446.8954475535
2020-01-23,133281.1463797577
2020-01-24,131375.3733517834
2020-01-27,129125.65140254266
2020-01-28,131967.27554165063
2020-01-29,131599.87688406915
2020-01-30,131961.74554515677
2020-01-31,127778.55502567743
2020-02-03,130179.61949385969
2020-02-04,132692.84933085978
2020-02-05,132549.36699816433
2020-02-06,132913.30975829836
2020-02-07,131550.82362125744
2020-02-10,132448.45658386603
2020-02-11,133223.56931030366
2020-02-12,134168.07700546808
2020-02-13,134452.55593678256
2020-02-14,134006.3313016479
2020-02-17,134015.59293293237
2020-02-18,132570.9370504042
2020-02-19,135046.48295769165
2020-02-20,134265.58536001592
2020-02-21,132558.55970419542
2020-02-24,129646.60511396108
2020-02-25,127377.17048502425
2020-02-26,127736.92429865012
2020-02-27,125027.28119903989
2020-02-28,124718.29270739674
2020-03-02,126693.27145678712
2020-03-03,126018.28356047768
2020-03-04,127579.44077645123
2020-03-05,126759.67887335698
2020-03-06,126043.86266049377
2020-03-09,124067.31399176193
2020-03-10,124779.9739761277
2020-03-11,123245.60420099675
2020-03-12,120378.79205753146
2020-03-13,122291.05030615696
2020-03-16,119095.67234885419
2020-03-17,121124.90745346411
2020-03-18,119476.43488813292
2020-03-19,119351.82547297826
2020-03-20,117902.28930462233
2020-03-23,117051.36663982838
2020-03-24,119579.89898391008
2020-03-25,120062.4810045652
2020-03-26,121969.98923937982
2020-03-27,121436.90586253678
2020-03-30,122380.09482693595
2020-03-31,121528.6037478172
2020-04-01,120787.71288299159
2020-04-02,120950.30647308801
2020-04-03,120361.38330719149
2020-04-06,122147.42598671919
2020-04-07,121802.19813420653
2020-04-08,122591.44564910542
2020-04-09,122870.51488710563
2020-04-13,122679.76079650255
2020-04-14,123531.70474938922
2020-04-15,123561.86246066264
2020-04-16,124413.924152361
2020-04-17,124597.85600518464
2020-04-20,123283.54289912489
2020-04-21,120267.97311721757
2020-04-22,122463.67448645443
2020-04-23,122196.0231375065
2020-04-24,123163.36303399954
2020-04-27,124164.85614607479
2020-04-28,122445.55599393755
2020-04-29,121574.41564727743
2020-04-30,121175.36219633461
2020-05-01,119597.9205300698
2020-05-04,120663.21887896436
2020-05-05,122630.82393537393
2020-05-06,122716.33906806102
2020-05-07,123137.10102992051
2020-05-08,124987.89626848079
2020-05-11,127137.75235446969
2020-05-12,124415.39110109248
2020-05-13,124528.23091102432
2020-05-14,124325.2332942831
2020-05-15,125144.80939814363
2020-05-18,125407.53140164343
2020-05-19,124972.58589307316
2020-05-20,126672.75953930627
2020-05-21,124709.72638590878
2020-05-22,124505.49399552138
2020-05-25,124505.66374944923
2020-05-26,123863.5122628385
2020-05-27,125307.9138375999
2020-05-28,127182.15894043937
2020-05-29,131788.0997075348
2020-06-01,133057.74642381852
2020-06-02,132411.56512830913
2020-06-03,132609.8571474066
2020-06-04,131421.84249227226
2020-06-05,131633.93734163477
2020-06-08,133912.68989228882
2020-06-09,133746.34301075264
2020-06-10,135728.89917058276
2020-06-11,131137.96814284255
2020-06-12,130717.09206332352
2020-06-15,134070.25523385947
2020-06-16,135836.68093269068
2020-06-17,135859.42922222754
2020-06-18,135640.73496956803
2020-06-19,137891.09420933633
2020-06-22,138663.7292315734
2020-06-23,138166.57252758383
2020-06-24,136349.9647288545
2020-06-25,137623.02093046415
2020-06-26,135787.42615178783
2020-06-29,137674.52866616732
2020-06-30,139897.33262502067
2020-07-01,142209.43297444144
2020-07-02,146433.6321064047
2020-07-06,153845.26909027886
2020-07-07,154411.25056135037
2020-07-08,155022.385626448
2020-07-09,156862.37615744575
2020-07-10,163378.79114505294
2020-07-13,157423.17506291968
2020-07-14,154599.4823555388
2020-07-15,155551.04399381595
2020-07-16,154369.88427906318
2020-07-17,154472.42815922614
2020-07-20,156375.1025742136
2020-07-21,154190.35458142028
2020-07-22,155186.91469474486
2020-07-23,152798.2151193876
2020-07-24,151044.94550588427
2020-07-27,155565.3030035116
2020-07-28,154084.92445847977
2020-07-29,158083.9110684789
2020-07-30,161979.91354708344
