Date,Strategy,^TA125.TA
2024-01-15,93947.89772852216,101989.88618719482
2024-01-16,91353.2977730963,100589.26499500987
2024-01-17,91247.40793270107,99857.6358182492
2024-01-18,94014.29100483788,101809.01714440604
2024-01-19,94897.93110196161,101809.01714440604
2024-01-22,95375.86996663052,101726.21027181225
2024-01-23,94027.79435832577,101087.7355016765
2024-01-24,95244.69666755717,101899.45166580043
2024-01-25,97016.2470963969,101555.1501060774
2024-01-26,97149.0539513591,101555.1501060774
2024-01-29,99924.5916357007,103084.33741357362
2024-01-30,99490.06376923599,102055.25653393407
2024-01-31,99551.91867808554,101574.22255312197
2024-02-01,99800.5373774974,100875.27189964478
2024-02-02,99205.51365212328,100875.27189964478
2024-02-05,100089.17820281933,100804.4551323583
2024-02-06,101792.70309609073,102278.61297706029
2024-02-07,102256.07345927198,102374.49391900192
2024-02-08,101615.59520746495,101774.15074278307
2024-02-09,100440.23002052758,101774.15074278307
2024-02-12,102222.69936610162,102317.29652812662
2024-02-13,104340.06928654674,102950.86353469231
2024-02-14,104648.09856687406,102910.55071252209
2024-02-15,105655.09821652611,103533.77683514275
2024-02-16,106580.69913917108,103533.77683514275
2024-02-19,109801.50594987776,105493.87642422687
2024-02-20,109674.73757328543,105492.24050303685
2024-02-21,108323.39514662736,105290.13108512243
2024-02-22,107890.9157421628,106126.90477381536
2024-02-23,109133.8818732401,106126.90477381536
2024-02-26,112522.77805472864,107781.38635424279
2024-02-27,112225.98431675203,107781.38635424279
2024-02-28,113314.27659185963,107145.63146933762
2024-02-29,114778.43854927598,108068.48387300437
2024-03-01,115469.89906255869,108068.48387300437
2024-03-04,119056.14578628623,108903.07633344395
2024-03-05,119747.08481482841,108182.33999777777
2024-03-06,119254.94393031954,108422.04235263188
2024-03-07,117249.20440376668,107504.09771253516
2024-03-08,117311.4130362468,107504.09771253516
2024-03-11,115483.56618769615,106080.60022403456
2024-03-12,112502.92473606297,105485.70346836293
2024-03-13,113292.96936647894,105526.56159759649
2024-03-14,113060.62287943052,104796.56169193969
2024-03-15,112490.90813985231,104796.56169193969
2024-03-18,116131.1036495003,107457.79316275436
2024-03-19,117715.61461724958,108074.47560061495
2024-03-20,118071.96992183891,109557.89701530756
2024-03-21,120208.34229512622,110418.09895746564
2024-03-22,121937.43758061226,110418.09895746564
2024-03-25,121261.33444671983,111198.21391226047
2024-03-26,121178.7068739083,111320.24299289781
2024-03-27,120613.408645283,110968.86574152367
2024-03-28,118992.94784958355,110652.8935487497
2024-03-29,118992.94784958355,110652.8935487497
2024-04-01,117221.59942543392,111228.17920039954
2024-04-02,116210.16127932133,109169.4721340571
2024-04-03,113743.14813311689,109427.14967174295
2024-04-04,110953.73001709596,107901.77951369011
2024-04-05,111066.91392752039,107901.77951369011
2024-04-08,112255.67361019159,110498.17929474275
2024-04-09,114124.80531264769,109353.06106207643
2024-04-10,111571.29302075873,108310.3608060257
2024-04-11,107616.23676857076,106533.85014496092
2024-04-12,107076.03492696302,106533.85014496092
2024-04-15,107770.33825545575,105755.3711113561
2024-04-16,108318.54532613828,105407.25905227585
2024-04-17,107036.88887174289,104338.41065752941
2024-04-18,108377.86282842519,105499.86815183745
2024-04-19,108180.77340184814,105499.86815183745
2024-04-22,109281.13951710105,105499.86815183745
2024-04-23,108641.5753099809,105499.86815183745
2024-04-24,109983.63369791907,107038.85768630149
2024-04-25,108481.27128940426,106283.25494901232
2024-04-26,107742.88781733811,106283.25494901232
2024-04-29,107068.78257224451,106283.25494901232
2024-04-30,110493.0261016124,107501.91648428181
2024-05-01,110049.39203477082,106666.77871677889
2024-05-02,108829.047070908,107034.50187988092
2024-05-03,109722.42804434388,107034.50187988092
2024-05-06,112212.86389829112,107289.45288225007
2024-05-07,112266.87643609283,108924.32335865575
2024-05-08,113649.14523947988,109469.09841510319
2024-05-09,118043.68175753715,110395.76131812717
2024-05-10,117512.32301706055,110395.76131812717
2024-05-13,117531.87477515428,110395.76131812717
2024-05-14,117803.0588160254,110395.76131812717
2024-05-15,119650.32558224797,110914.38823587893
2024-05-16,119574.65924315168,108933.04162158302
2024-05-17,118804.61514720999,108933.04162158302
2024-05-20,117340.96543336994,108368.11015405048
2024-05-21,117797.39696722025,107765.58574957825
2024-05-22,118738.82829984861,107326.50051212641
2024-05-23,117971.83089154965,106994.1890577107
2024-05-24,117945.49326145925,106994.1890577107
2024-05-27,118041.11696526308,107327.04581918975
2024-05-28,117653.11976063097,108289.12043090005
2024-05-29,119211.09936064087,108544.07143326922
2024-05-30,119344.91283477972,108738.55985246919
2024-05-31,119307.20089677184,108738.55985246919
2024-06-03,118279.40427435494,109329.63945869743
2024-06-04,120282.1415245945,108781.04725280662
2024-06-05,120486.81146514352,107104.77334010406
2024-06-06,118719.47144511004,106042.46198003154
2024-06-07,118227.33212483363,106042.46198003154
2024-06-10,119732.89664213001,106872.15997707336
2024-06-11,120230.25941716743,106872.15997707336
2024-06-12,121599.50887145725,106872.15997707336
2024-06-13,124079.22033027017,107258.40363007048
2024-06-14,123091.85344258584,107258.40363007048
2024-06-17,122653.53536903579,107906.14197019683
2024-06-18,124889.85672038006,107675.15787827
2024-06-19,123569.53264482616,107658.26665947877
2024-06-20,122290.86264352084,105723.22459496369
2024-06-21,121818.38342991185,105723.22459496369
2024-06-24,117951.93008559612,105018.83417102537
2024-06-25,121036.163302119,105893.73945363518
2024-06-26,122245.54377957099,107058.46879032326
2024-06-27,123102.23352490591,106235.3144780415
2024-06-28,122922.0070670248,106235.3144780415
2024-07-01,120967.5472730354,105838.71664092709
2024-07-02,122006.2928015838,106326.29430649924
2024-07-03,123266.23126456236,106995.81832881457
2024-07-04,125716.4172189339,108688.438153245
2024-07-05,126537.32680926468,108688.438153245
2024-07-08,129557.35941680422,110566.821483862
2024-07-09,131067.33849726385,111192.22218464989
2024-07-10,131273.7877561582,110519.42631995452
2024-07-11,132808.63302048855,112214.76602961552
2024-07-12,133506.2375198695,112214.76602961552
2024-07-15,136218.58678046035,112531.82883651617
2024-07-16,135663.49874140517,112626.61916433113
2024-07-17,135717.19390437988,112018.0963821622
2024-07-18,135108.33293139204,111565.9370753625
2024-07-19,134956.2186806204,111565.9370753625
2024-07-22,134799.89424417645,111234.71623507347
2024-07-23,138139.53767457345,112613.54509498329
2024-07-24,138620.59133776664,112560.70351052856
2024-07-25,137610.05492027127,111819.80411369113
2024-07-26,136881.72855873604,111819.80411369113
2024-07-29,133448.33082094093,109714.24719050454
2024-07-30,128441.77274997241,108788.12959454389
2024-07-31,126363.51937286669,108988.60974135445
2024-08-01,124143.46504285268,107313.42644277855
2024-08-02,123075.83472233843,107313.42644277855
2024-08-05,116377.24896473104,103990.29859844915
2024-08-06,118465.40216266857,105599.02093615913
