Date,Strategy,VT,VOO,SPMO,QQQ
2017-09-08,112867.61871800754,101047.59777493699,97257.0669097952,96842.96846443032,101656.8258499554
2017-09-11,114708.0844389985,102016.83444161834,98316.43600276398,96842.39213881565,102825.37978448012
2017-09-12,114596.41056308924,102291.49734937698,98676.63784502317,96841.81581663147,103071.11503286698
2017-09-13,114381.15310639818,102030.74012382024,98736.58365482652,96841.23949787777,103211.19072627687
2017-09-14,114249.37289375292,102059.39452174368,98702.14778011842,96840.66318255456,102604.55107359061
2017-09-15,114382.18143924588,102247.20234859752,98839.28165143509,99318.07472406838,102955.98173048563
2017-09-18,114203.44626130292,102594.22863338578,99010.76380652505,100471.05296110755,102820.31135469023
2017-09-19,114108.77114448608,102753.13628406658,99130.74911505863,100374.09122809934,102995.98541425173
2017-09-20,113609.89059731066,102752.85097555483,99184.94285582298,100277.0767363346,102677.50806976148
2017-09-21,113320.05755518712,102477.63811392515,98904.58778186157,100276.47996959926,102048.38173434704
2017-09-22,113700.61846129259,102549.69329667765,98891.51878441668,100275.8832064161,101948.76698939102
2017-09-25,113372.54153919974,102100.83316236507,98744.79972503308,98957.83582544798,100874.89908662811
2017-09-26,113197.30025959735,101999.24674330528,98779.18165645607,99150.04292257203,101135.33238238313
2017-09-27,113026.8811327631,102193.81866475771,99162.7978844052,99149.4528643713,102045.14429862026
2017-09-28,113725.15931796147,102324.4642451884,99279.07623058182,99148.8628096828,102009.03217298811
2017-09-29,113754.47012326833,102891.37090847311,99632.48623298042,99148.27275850654,102742.35573969095
2017-10-02,111773.74912719292,103123.76682418463,100050.57658186808,99147.68271084248,102833.33802944666
2017-10-03,112157.47144675118,103574.29114090295,100253.09745270152,99147.09266669062,103051.34892195929
2017-10-04,112681.4855965251,103617.63733116865,100390.94435450017,99146.50262605092,103149.34208417423
2017-10-05,113240.76465238167,103922.75869001784,100985.78415444614,102471.54058886283,104157.93852375084
2017-10-06,113472.58740765612,103791.61596738605,100890.80887667387,102390.55743083781,104298.2940445956
2017-10-09,113338.91944233532,103645.85651270329,100713.922418148,102807.67398087653,104177.43263898359
2017-10-10,113225.38982288685,104212.76838253644,100968.17832661483,102742.80737732569,104254.26756421187
2017-10-11,114093.43988689643,104503.30712750167,101131.90336286523,102973.52791359335,104564.04882573542
2017-10-12,114683.18967907265,104444.85945960916,100976.56486044703,103095.01523219574,104372.61098097176
2017-10-13,114889.0376826921,104735.42912005809,101088.52245860142,103608.46439274198,104774.14282131325
2017-10-16,114223.67581898924,104778.77775047011,101247.92215970883,103704.24787602836,105133.27481595048
2017-10-17,113845.73778165944,104734.84749110443,101312.48968586855,103684.36024138103,105266.54353785784
2017-10-18,114212.59406173078,104807.27762405414,101402.90652191514,103911.86105472974,105138.65550423435
2017-10-19,115561.96430565744,104676.0759998035,101454.52257757745,103715.25219693549,104749.63970635038
2017-10-20,117148.48197825294,104923.04182839289,101958.80871344564,104935.55902572325,105031.1611406459
2017-10-23,116906.63188939303,104515.5431274677,101587.91317767934,104761.43033110167,104345.63760313054
2017-10-24,117039.58164543178,104689.76798498156,101730.08831407345,105435.54964146826,104521.27592886191
